ComponentID,DrawableID,TextureID,Name
7,0,0,"Nichts"
7,1,0,"Goldene Deko-Ohrringe"
7,1,1,"Silberne Deko-Ohrringe"
7,1,2,"Perlmuttfarbene Deko-Ohrringe"
7,1,3,"Kupferfarbene Deko-Ohrringe"
7,1,4,"Schwarz-weiße Deko-Ohrringe"
7,1,5,"Blaue gestreifte Deko-Ohrringe"
7,2,0,"Goldene Creole"
7,2,1,"Silberne Creole"
7,2,2,"Pinke Creole"
7,2,3,"Kupferfarbene Creole"
7,2,4,"Lila Creole"
7,2,5,"Weiße Creole"
7,3,0,"Harsh Souls Schweißband"
7,3,1,"Prolaps Schweißband"
7,3,2,"LC Schweißband"
7,3,3,"Aquablaues Schweißband"
7,3,4,"Pinkes Schweißband"
7,3,5,"Squeezers Schweißband"
7,5,4,"Weiße Lederriemen"
7,5,5,"Regenbogen-Lederriemen"
7,6,0,"Onyxhalskette"
7,6,1,"Perlenhalskette"
7,6,2,"Jadehalskette"
7,6,3,"Karneolhalskette"
7,6,4,"Aquamarinhalskette"
7,6,5,"Amethysthalskette"
7,7,0,"Goldene Herzkette"
7,7,1,"Silberne Halskette"
7,9,0,"Schwarzes Quasten-Halstuch"
7,10,0,"Blumen-Armreifen"
7,10,1,"MyMy Armreifen"
7,10,2,"Grüne Armreifen"
7,10,3,"Rote Armreifen"
7,11,0,"Schwarze MyMy Herzkette"
7,11,1,"Pinke MyMy Herzkette"
7,11,2,"Rosa Herzkette"
7,11,3,"Komplett silberne Herzkette"
7,12,0,"Weiße Perlen"
7,12,1,"Silberne Perlen"
7,12,2,"Schwarze Perlen"
7,13,0,"Gepunkteter Schleifenschal"
7,13,1,"Blumen-Schleifenschal"
7,13,2,"Pinker Schleifenschal"
7,13,3,"Roter Schleifenschal"
7,13,4,"Leoparden-Schleifenschal"
7,13,5,"Weißer Schleifenschal"
7,14,0,"Schwarzweiße Lederriemen"
7,14,1,"Sommer-Lederriemen"
7,14,2,"Bunte Lederriemen"
7,14,3,"Pinke karierte Lederriemen"
7,15,0,"Rotes Quastenhalstuch"
7,15,1,"Lila Quastenhalstuch"
7,15,2,"Olivgrünes Quastenhalstuch"
7,15,3,"Pinkes Quastenhalstuch"
7,15,4,"Türkises Quastenhalstuch"
7,17,0,"Gestreifter Schal"
7,17,1,"Freudeschal"
7,17,2,"Schneeflockenschal"
7,17,3,"Sturmschal"
7,18,0,"Gestreifter Schal"
7,18,1,"Freudeschal"
7,18,2,"Schneeflockenschal"
7,18,3,"Sturmschal"
7,19,0,"Schwarze lockere Fliege"
7,20,0,"Anthrazitgraue lockere Krawatte"
7,20,1,"Khakif. schraff. lockere Krawatte"
7,20,2,"Weiße gestr. lockere Krawatte"
7,20,3,"Grüne lockere Krawatte"
7,20,4,"Lila lockere Rauten-Krawatte"
7,20,5,"Fuchsiaf. lockere Krawatte"
7,20,6,"Graue lockere Rauten-Krawatte"
7,20,7,"Hellbraune lockere Krawatte"
7,20,8,"Blaue gestr. lockere Krawatte"
7,20,9,"Türkise lockere Krawatte"
7,20,10,"Orange lockere Krawatte"
7,20,11,"Blaue lockere Rauten-Krawatte"
7,20,12,"Hellbr. gestr. lockere Krawatte"
7,20,13,"Pinke lockere Krawatte"
7,20,14,"Grüne lockere Rauten-Krawatte"
7,20,15,"Blaue schraff. lockere Krawatte"
7,21,0,"Weiße schmale Krawatte"
7,21,1,"Graue schmale Krawatte"
7,21,2,"Schwarze schmale Krawatte"
7,22,0,"Anthrazitgraue gerade Krawatte"
7,22,1,"Khakif. schraff. gerade Krawatte"
7,22,2,"Weiße gestr. gerade Krawatte"
7,22,3,"Grüne gerade Krawatte"
7,22,4,"Lila gerade Rauten-Krawatte"
7,22,5,"Fuchsiaf. gerade Krawatte"
7,22,6,"Graue gerade Rauten-Krawatte"
7,22,7,"Hellbraune gerade Krawatte"
7,22,8,"Blaue gestr. gerade Krawatte"
7,22,9,"Türkise gerade Krawatte"
7,22,10,"Orange gerade Krawatte"
7,22,11,"Blaue gerade Rauten-Krawatte"
