ComponentID|DrawableID|TextureID|Name
2|0|0|"Glatze"
2|1|0|"Kurz, kastanienbraun"
2|1|1|"Kurz, blond"
2|1|2|"Kurz, rotbraun"
2|1|3|"Kurz, schwarz"
2|1|4|"Kurz, braun"
2|1|5|"Kurz, lila"
2|2|0|"Stufenbob, kastanienbraun"
2|2|1|"Stufenbob, blond"
2|2|2|"Stufenbob, rotbraun"
2|2|3|"Stufenbob, schwarz"
2|2|4|"Stufenbob, braun"
2|2|5|"Stufenbob, grün"
2|3|0|"Zöpfe, kastanienbraun"
2|3|1|"Zöpfe, blond"
2|3|2|"Zöpfe, rotbraun"
2|3|3|"Zöpfe, schwarz"
2|3|4|"Zöpfe, braun"
2|4|0|"Pferdeschwanz, kastanienbraun"
2|4|1|"Pferdeschwanz, blond"
2|4|2|"Pferdeschwanz, rotbraun"
2|4|3|"Pferdeschwanz, schwarz"
2|4|4|"Pferdeschwanz, braun"
2|4|5|"Pferdeschwanz, blau"
2|5|0|"Iro, geflochten, kastanienbraun"
2|5|1|"Iro, geflochten, blond"
2|5|2|"Iro, geflochten, rotbraun"
2|5|3|"Iro, geflochten, schwarz"
2|5|4|"Iro, geflochten, braun"
2|5|5|"Iro, geflochten, pink"
2|6|0|"Flechtzöpfe, kastanienbraun"
2|6|1|"Flechtzöpfe, blond"
2|6|2|"Flechtzöpfe, rotbraun"
2|6|3|"Flechtzöpfe, schwarz"
2|6|4|"Flechtzöpfe, braun"
2|7|0|"Bob, kastanienbraun"
2|7|1|"Bob, blond"
2|7|2|"Bob, rotbraun"
2|7|3|"Bob, schwarz"
2|7|4|"Bob, braun"
2|7|5|"Bob, helllila"
2|8|0|"Iro, modisch, kastanienbraun"
2|8|1|"Iro, modisch, blond"
2|8|2|"Iro, modisch, rotbraun"
2|8|3|"Iro, modisch, schwarz"
2|8|4|"Iro, modisch, braun"
2|8|5|"Iro, modisch, pink"
2|9|0|"Bananenfrisur, kastanienbraun"
2|9|1|"Bananenfrisur, blond"
2|9|2|"Bananenfrisur, rotbraun"
2|9|3|"Bananenfrisur, schwarz"
2|9|4|"Bananenfrisur, braun"
2|10|0|"Langer Bob, kastanienbraun"
2|10|1|"Langer Bob, blond"
2|10|2|"Langer Bob, rotbraun"
