ComponentID,DrawableID,TextureID,Name
4,0,0,"Marineblau, normal"
4,0,1,"Abgetragen, schwarz, normal"
4,0,2,"Ausgewaschen, hellblau, normal"
4,0,3,"Hellbraun, normal"
4,0,4,"Ausgewaschen, dunkel, normal"
4,0,5,"Grau, normal"
4,0,6,"Ausgewaschen, hell, normal"
4,0,7,"Senfgelb, normal"
4,0,8,"Dunkelblau, normal"
4,0,9,"Steingrau, normal"
4,0,10,"Abgetragen, hellblau, normal"
4,0,11,"Braun, normal"
4,0,12,"Schwarz, normal"
4,0,13,"Türkis, normal"
4,0,14,"Weiß, normal"
4,0,15,"Karmesinrot, normal"
4,1,0,"Schiefergraue Jeans"
4,1,1,"Schwarze Ranch Jeans"
4,1,2,"Graue Ranch Jeans"
4,1,3,"Hellblaue Ranch Jeans"
4,1,4,"Schokobraune Ranch Jeans"
4,1,5,"Topazfarbene Ranch Jeans"
4,1,6,"Silberne Ranch Jeans"
4,1,7,"Braune Ranch Jeans"
4,1,8,"Patriotische Ranch Jeans"
4,1,9,"Olivgrüne Ranch Jeans"
4,1,10,"Lila Ranch Jeans"
4,1,11,"Marineblaue Ranch Jeans"
4,1,12,"Blaue Ranch Jeans"
4,1,13,"Schwarz-rote Jeans"
4,1,14,"Hellbraune Ranch Jeans"
4,1,15,"Ausgewaschene Ranch Jeans"
4,2,11,"Graue zweifarbige Shorts"
4,3,0,"Weiße gestreifte Trainingshose"
4,3,1,"Graue Trainingshose"
4,3,2,"Schwarze Trainingshose"
4,3,3,"Blaue Trainingshose"
4,3,4,"Marineblaue Trainingshose"
4,3,5,"Rote Trainingshose"
4,3,6,"Grüne gestreifte Trainingshose"
4,3,7,"Orange Trainingshose"
4,3,8,"Gelbe Trainingshose"
4,3,9,"Lila Trainingshose"
4,3,10,"Braune gestreifte Trainingshose"
4,3,11,"Hellbraune Trainingshose"
4,3,12,"Lavendelfarbene Trainingshose"
4,3,13,"Zweifarbige Trainingshose"
4,3,14,"Blau-orange Trainingshose"
4,3,15,"Rote gestreifte Trainingshose"
4,4,0,"Schwarz, eng"
4,4,1,"Tiefblau, eng"
4,4,2,"Grau, eng"
4,5,0,"Weiße gestreifte Jogginghose"
4,5,1,"Graue gestreifte Jogginghose"
4,5,2,"Dunkle gestreifte Jogginghose"
4,5,3,"Blaue gestreifte Jogginghose"
4,5,4,"Marineblaue Jogginghose"
4,5,5,"Rote gestreifte Jogginghose"
4,5,6,"Grüne gestreifte Jogginghose"
4,5,7,"Orange gestreifte Jogginghose"
4,5,8,"Gelbe gestreifte Jogginghose"
4,5,9,"Lila gestreifte Jogginghose"
4,5,10,"Braune gestreifte Jogginghose"
4,5,11,"Hellbraune Jogginghose"
4,5,12,"Lavendelfarbene Jogginghose"
4,5,13,"Waldtarn-Jogginghose"
4,5,14,"Schneetarn-Jogginghose"
4,5,15,"Schiefergraue Jogginghose"
4,6,0,"Weiße Surfershorts"
4,6,1,"Dunkle Surfershorts"
4,6,2,"Steingraue Surfershorts"
4,6,10,"Blau karierte Surfershorts"
4,7,0,"Schwarze Arbeitshose"
4,7,1,"Schokobraune Arbeitshose"
4,7,2,"Graue Arbeitshose"
4,7,3,"Blaue Arbeitshose"
4,7,4,"Hellbraune Arbeitshose"
4,7,5,"Weiße Arbeitshose"
4,7,6,"Olivgrüne Arbeitshose"
4,7,7,"Waldgrüne Arbeitshose"
4,7,8,"Hummerrote Arbeitshose"
4,7,9,"Aschgraue Arbeitshose"
4,7,10,"Türkise Arbeitshose"
4,7,11,"Beerenrote Arbeitshose"
4,7,12,"Khakifarbene Arbeitshose"
4,7,13,"Himmelblaue Arbeitshose"
4,7,14,"Marineblaue Arbeitshose"
4,7,15,"Sportliche Arbeitshose"
4,8,0,"Anthrazitgraue Chinohose"
4,8,3,"Hellbraune Chinohose"
4,8,4,"Graue Chinohose"
4,8,14,"Himmelblaue Chinohose"
4,9,0,"Olivgrüne Cargohose"
4,9,1,"Khakifarbene Cargohose"
4,9,2,"Lila Cargohose"
4,9,3,"Marineblaue Cargohose"
4,9,4,"Orange Cargohose"
4,9,5,"Braune Cargohose"
4,9,6,"Braungraue Cargohose"
4,9,7,"Schwarze Cargohose"
4,9,8,"Senfgelbe Cargohose"
4,9,9,"Erdbraune Tarn-Cargohose"
4,9,10,"Stadttarn-Cargohose"
4,9,11,"Rote Tarn-Cargohose"
4,9,12,"Steppentarn-Cargohose"
4,9,13,"Schwarze Tarn-Cargohose"
4,9,14,"Waldtarn-Cargohose"
4,9,15,"Blaue Tarn-Cargohose"
4,10,0,"Schwarze Hose"
4,10,1,"Graue Hose"
4,10,2,"Blaue Hose"
4,12,0,"Schwarze Chinohose"
4,12,4,"Grau karierte Chinoshorts"
4,12,5,"Graue Chinoshorts"
4,12,7,"Hellbraune Chinoshorts"
4,12,12,"Marineblaue Chinoshorts"
4,13,0,"Schwarze weite Hose"
4,13,1,"Graue weite Hose"
4,13,2,"Blaue weite Hose"
4,14,0,"Anthrazitgraue Laufshorts"
4,14,1,"Schwarze Laufshorts"
4,14,3,"Bordeauxrote Laufshorts"
4,15,0,"Altweiße Cargoshorts"
4,15,1,"Olivgrüne Cargoshorts"
4,15,2,"Weiße Cargoshorts"
4,15,3,"Schwarze Cargoshorts"
4,15,4,"Hellbraune Cargoshorts"
4,15,5,"Graue Cargoshorts"
4,15,6,"Rote Cargoshorts"
4,15,7,"Braune Cargoshorts"
4,15,8,"Lila Cargoshorts"
4,15,9,"Stadttarn-Cargoshorts"
4,15,10,"Waldtarn-Cargoshorts"
4,15,11,"Wüstentarn-Cargoshorts"
4,15,12,"Wintertarn-Cargoshorts"
4,15,13,"Grüne Cargoshorts"
4,15,14,"Blaue Cargoshorts"
4,15,15,"Orange Cargoshorts"
4,16,0,"Blaue zweifarbige Surfershorts"
4,16,1,"Karierte Harsh Souls Surfershorts"
4,16,2,"Sonnenaufgangs-Surfershorts"
4,16,3,"Sonnenuntergangs-Surfershorts"
4,16,4,"Grüne Surfershorts"
4,16,5,"Lila Blumen-Surfershorts"
4,16,6,"Grüne zweifarbige Surfershorts"
4,16,7,"Karierte Tim Vapid Surfershorts"
4,16,8,"Aquablaue Blumen-Surfershorts"
4,16,9,"Pinke Surfershorts"
