ComponentID,DrawableID,TextureID,Name
1,0,0,"Nichts"
1,1,0,"Pinkes Schwein"
1,1,1,"Braunes Schwein"
1,1,2,"Blutiges Schwein"
1,1,3,"Schwarzes Schwein"
1,2,0,"Silberner Totenkopf"
1,2,1,"Totenkopf"
1,2,2,"Grauer Totenkopf"
1,2,3,"Schwarzer Totenkopf"
1,3,0,"Pogo"
1,4,0,"Weiße Hockeymaske"
1,4,1,"Rote Hockeymaske"
1,4,2,"Blutige Hockeymaske"
1,4,3,"Dust Devils Hockeymaske"
1,5,0,"Hellbrauner Affe"
1,5,1,"Brauner Affe"
1,5,2,"Grüner Affe"
1,5,3,"Pinker Affe"
1,6,0,"Grüne Karnevalsmaske"
1,6,1,"Weiße Karnevalsmaske"
1,6,2,"Blaue Karnevalsmaske"
1,6,3,"Schwarze Karnevalsmaske"
1,7,0,"Grünes Monster"
1,7,1,"Rotes Monster"
1,7,2,"Schwarzes Monster"
1,7,3,"Weißes Monster"
1,8,0,"Weißer Weihnachtsmann"
1,8,1,"Schwarzer Weihnachtsmann"
1,8,2,"Latino-Weihnachtsmann"
1,9,0,"Rentier"
1,10,0,"Schneemann"
1,11,0,"Weiß & geheimnisvoll"
1,11,1,"Rot & geheimnisvoll"
1,11,2,"Schwarz & geheimnisvoll"
1,12,0,"Maskenball, bronze"
1,12,1,"Maskenball, silber"
1,12,2,"Maskenball, schwarz & gold"
1,13,0,"Amor"
1,14,0,"Bullet-Hockeymaske"
1,14,1,"Vinewood-Hockeymaske"
1,14,2,"Touristen-Hockeymaske"
1,14,3,"Hunde-Hockeymaske"
1,14,4,"Wolf-Hockeymaske"
1,14,5,"Biest-Hockeymaske"
1,14,6,"Bären-Hockeymaske"
1,14,7,"Dust Devils Hockeymaske"
1,14,8,"Rampage-Fan-Hockeymaske"
1,14,9,"Royal-Hockeymaske"
1,14,10,"Fashion-Hockeymaske"
1,14,11,"Braune Zombie-Hockeymaske"
1,14,12,"Blaue Zombie-Hockeymaske"
1,14,13,"Feuerschädel-Hockeymaske"
1,14,14,"Geisterschädel-Hockeymaske"
1,14,15,"Elektroschädel-Hockeymaske"
1,15,0,"Totenkopf-Hockeymaske"
1,15,1,"Naht-Hockeymaske"
1,15,2,"Blasse Naht-Hockeymaske"
1,15,3,"Rampage Hockeymaske"
1,16,0,"Metallkrieger"
1,16,1,"Schaltkreiskrieger"
1,16,2,"Geschmolzener Krieger"
1,16,3,"Neonkrieger"
1,16,4,"Carbonkrieger"
1,16,5,"Scharfschützenkrieger"
1,16,6,"Steinkrieger"
1,16,7,"Blitzkrieger"
1,16,8,"Holzkrieger"
1,17,0,"Graue Katze"
1,17,1,"Getigerte Katze"
1,18,0,"Roter Fuchs"
1,18,1,"Brauner Fuchs"
1,19,0,"Braune Eule"
1,19,1,"Weiße Eule"
1,20,0,"Grauer Waschbär"
1,20,1,"Schwarzer Waschbär"
1,21,0,"Brauner Bär"
1,21,1,"Grauer Bär"
1,22,0,"Brauner Bison"
1,22,1,"Goldener Bison"
1,23,0,"Schwarzer Stier"
1,23,1,"Brauner Stier"
1,24,0,"Brauner Adler"
1,24,1,"Weißer Adler"
1,25,0,"Pinker Geier"
1,25,1,"Schwarzer Geier"
1,26,0,"Grauer Wolf"
1,26,1,"Schwarzer Wolf"
1,27,0,"Fliegerkappe"
1,28,0,"Schwarze Kampfmaske"
1,28,1,"Graue Kampfmaske"
1,28,2,"Anthrazitgr. Kampfmaske"
1,28,3,"Hellbraune Kampfmaske"
1,28,4,"Waldfarbene Kampfmaske"
1,29,0,"Schwarzes Skelett"
1,29,1,"Graues Skelett"
1,29,2,"Anthrazitgraues Skelett"
1,29,3,"Hellbraunes Skelett"
1,29,4,"Grünes Skelett"
1,30,0,""Please Stop Me"-Maske"
1,31,0,"Pinguin"
1,32,0,"Strumpf"
1,33,0,"Lebkuchenmann"
1,34,0,"Weißer Elf"
1,34,1,"Schwarzer Elf"
1,34,2,"Latino-Elf"
1,35,0,"Nachtsichtgerät"
1,36,0,"Atemgerät"
1,37,0,"Abgenutzte Sturmhaube"
1,38,0,"Gasmaske"
1,39,0,"Pinker Infizierter"
1,39,1,"Brauner Infizierter"
1,40,0,"Weiße Mumie"
1,40,1,"Grüne Mumie"
1,41,0,"Weißer Vampir"
1,41,1,"Blauer Vampir"
1,42,0,"Blasser Frank"
1,42,1,"Grauer Frank"
1,43,0,"Ohnmächtiger Zorn"
1,44,0,"Princess Robot Bubblegum"
1,45,0,"Moorehead"
1,46,0,"Chemie-Schutzmaske"
1,47,0,"Tatort-Absperrband"
1,47,1,"Band mit schwarzen Pfeilen"
1,47,2,"Gefahren-Warnband"
