ComponentID,DrawableID,TextureID,Name
6,0,0,"Anthrazitgraue Plateauschuhe"
6,0,1,"Graue Plateauschuhe"
6,0,2,"Altweiße Plateauschuhe"
6,0,3,"Marineblaue Plateauschuhe"
6,1,0,"Weiße zweifarbige Backsides"
6,1,1,"Schwarze Backsides"
6,1,2,"Graue Backsides"
6,1,3,"Hellblaue Backsides"
6,1,4,"Marineblaue Backsides"
6,1,5,"Burgunderrote Backsides"
6,1,6,"Pinke Backsides"
6,1,7,"Babyblaue Backsides"
6,1,8,"Olivgrüne Backsides"
6,1,9,"Lila Backsides"
6,1,10,"Altweiße Backsides"
6,1,11,"Wilde Backsides"
6,1,12,"Indianische Backsides"
6,1,13,"Pink abgesetzte Backsides"
6,1,14,"Aschgraue Backsides"
6,1,15,"Fluoreszente Backsides"
6,2,0,"Schafsfell-Winterstiefel"
6,2,1,"Schwarze Winterstiefel"
6,2,2,"Graue Winterstiefel"
6,2,3,"Altweiße Winterstiefel"
6,2,4,"Aschgraue Winterstiefel"
6,2,5,"Anthrazitgraue Winterstiefel"
6,2,6,"Leoparden-Winterstiefel"
6,2,7,"Brokat-Winterstiefel"
6,2,8,"Blumen-Winterstiefel"
6,2,9,"Hellrosa Winterstiefel"
6,2,10,"Dunkeltürkise Winterstiefel"
6,2,11,"Leuchtend pinke Winterstiefel"
6,2,12,"Babyblaue Winterstiefel"
6,2,13,"Burgunderrote Winterstiefel"
6,2,14,"Hellbraune Winterstiefel"
6,2,15,"Blaue Winterstiefel"
6,3,0,"Schwarze Leinenschuhe"
6,3,1,"Weiße Leinenschuhe"
6,3,2,"Rote Leinenschuhe"
6,3,3,"Marineblaue Leinenschuhe"
6,3,4,"Violette Leinenschuhe"
6,3,5,"Grüne Leinenschuhe"
6,3,6,"Lila Leinenschuhe"
6,3,7,"Rote karierte Leinenschuhe"
6,3,8,"Wüstentarn-Leinenschuhe"
6,3,9,"Gelbe Leinenschuhe"
6,3,10,"Waldtarn-Leinenschuhe"
6,3,11,"Blaue Leinenschuhe"
6,3,12,"Pinke Safari-Leinenschuhe"
6,3,13,"Gemusterte Leinenschuhe"
