ComponentID,DrawableID,TextureID,Name
6,0,0,"Grüne Prolaps Turnschuhe"
6,0,1,"Türkise Prolaps Turnschuhe"
6,0,2,"Zweifarbige Eris Turnschuhe"
6,0,3,"Abgesetzte Prolaps Turnschuhe"
6,0,4,"Dreifarbige Eris Turnschuhe"
6,0,5,"Rote Prolaps Turnschuhe"
6,0,6,"Gelbe Prolaps Turnschuhe"
6,0,7,"Blaue Eris Turnschuhe"
6,0,8,"Himmelblaue Eris Turnschuhe"
6,0,9,"Hellbraune Eris Turnschuhe"
6,0,10,"Schwarze Eris Turnschuhe"
6,0,11,"Orange Prolaps Turnschuhe"
6,0,12,"Limettengrüne Eris Turnschuhe"
6,0,13,"Eris Leoparden-Turnschuhe"
6,0,14,"Rote Prolaps Turnschuhe"
6,0,15,"Aschgraue Eris Turnschuhe"
6,1,0,"Schwarze Skateschuhe"
6,1,1,"Graue Skateschuhe"
6,1,2,"Schiefergraue Skateschuhe"
6,1,3,"Pinke Skateschuhe"
6,1,4,"Braune Skateschuhe"
6,1,5,"Blaue Skateschuhe"
6,1,6,"Marineblaue Skateschuhe"
6,1,7,"Anthrazitgraue Skateschuhe"
6,1,8,"Tarn-Skateschuhe"
6,1,9,"Karierte Skateschuhe"
6,1,10,"Rote Skateschuhe"
6,1,11,"Olivgrüne Skateschuhe"
6,1,12,"Hellbraune Skateschuhe"
6,1,13,"Ganz graue Skateschuhe"
6,1,14,"Ganz schwarze Skateschuhe"
6,1,15,"Zweifarbige Skateschuhe"
6,2,6,"Silberne Laufschuhe"
6,2,13,"Gelbe Laufschuhe"
6,3,0,"Luxuriöse Bootsschuhe"
6,3,1,"Blau-graue Schuhe"
6,3,2,"Graue Schuhe"
6,3,3,"Kaffeebraune Schuhe"
6,3,4,"Schwarze Schuhe"
6,3,5,"Silberne Schuhe"
6,3,6,"Rote Schuhe"
6,3,7,"Grüne Schuhe"
6,3,8,"Dreifarbige Schuhe"
6,3,9,"Hellbraune zweifarbige Schuhe"
6,3,10,"Lila Schuhe"
6,3,11,"Karierte Schuhe"
6,3,12,"Patriotische Schuhe"
6,3,13,"Anthrazitgraue Schuhe"
6,3,14,"Babyblaue Schuhe"
6,3,15,"Umbrafarbene Schuhe"
6,4,0,"Marineblaue Leinenschuhe"
6,4,1,"Ganz schwarze Leinenschuhe"
6,4,2,"Ganz weiße Leinenschuhe"
6,4,4,"Rote Leinenschuhe"
6,5,0,"Weiße Flip-Flops"
6,5,1,"Graue Flip-Flops"
6,5,2,"Schwarze Flip-Flops"
6,5,3,"Olivgrüne Flip-Flops"
6,6,0,"Anthrazitgrau, weiße Socken"
6,6,1,"Indigofarben, weiße Socken"
6,7,0,"Ganz weiße Sportschuhe"
6,7,1,"Aschgraue Sportschuhe"
6,7,2,"Ganz schwarze Sportschuhe"
6,7,3,"Olivgrüne Sportschuhe"
6,7,4,"Blaue zweifarbige Sportschuhe"
6,7,5,"Dreifarbige Sportschuhe"
6,7,6,"Zweifarbige Sportschuhe"
6,7,7,"Grau-orange Sportschuhe"
6,7,8,"Grau-grüne Sportschuhe"
6,7,9,"Weiß-rote Sportschuhe"
6,7,10,"Blaue Sportschuhe"
6,7,11,"Gelbe Sportschuhe"
6,7,12,"Stadttarn-Sportschuhe"
6,7,13,"Waldtarn-Sportschuhe"
6,7,14,"Lila Sportschuhe"
6,7,15,"Grau-gelbe Sportschuhe"
6,8,0,"Weiße Sportschuhe"
6,8,1,"Graue Sportschuhe"
6,8,2,"Schwarze Sportschuhe"
6,8,3,"Vierfarbige Sportschuhe"
6,8,4,"Schwarz-blaue Sportschuhe"
6,8,5,"Blaue Sportschuhe"
6,8,6,"Gelbe Sportschuhe"
6,8,7,"Burgunderrote Sportschuhe"
6,8,8,"Orange Sportschuhe"
6,8,9,"Blau abgesetzte Sportschuhe"
6,8,10,"Graue zweifarbige Sportschuhe"
6,8,11,"Rote Sportschuhe"
6,8,12,"Lila Sportschuhe"
6,8,13,"Grüne Sportschuhe"
6,8,14,"Leoparden-Sportschuhe"
6,8,15,"Gelb abgesetzte Sportschuhe"
6,9,0,"Klassisch weiße Schuhe"
6,9,1,"Graue Schuhe"
6,9,2,"Schwarze Schuhe"
6,9,3,"Rote Schuhe"
6,9,4,"Grün abgesetzte Schuhe"
6,9,5,"Lila Schuhe"
6,9,6,"Zitronengelbe Schuhe"
6,9,7,"Blaue Schuhe"
6,9,8,"Orange abgesetzte Schuhe"
6,9,9,"Burgunderrote Schuhe"
6,9,10,"Grüne Schuhe"
6,9,11,"Orange Schuhe"
6,9,12,"Gelbe Schuhe"
6,9,13,"Schiefergraue Schuhe"
6,9,14,"Leoparden-Schuhe"
6,9,15,"Schlangenhaut-Schuhe"
6,10,0,"Ganz schwarze Oxfords"
6,10,7,"Cremefarbene Oxfords"
6,10,12,"Kaffeebraune Oxfords"
6,10,14,"Beige Oxfords"
6,11,9,"Beige Slipper"
