ComponentID,DrawableID,TextureID,Name,TorsoComponentID,TorsoDrawableID,TorsoTextureID
11,0,0,"Crew-T-Shirt",3,-1,-1
11,0,1,"Salamanders T-Shirt",3,-1,-1
11,0,2,"The Feud T-Shirt",3,-1,-1
11,0,3,"Gelbes T-Shirt",3,-1,-1
11,0,4,"Rotes T-Shirt",3,-1,-1
11,0,5,"Zyanfarbenes T-Shirt",3,-1,-1
11,0,6,"Blaues T-Shirt",3,-1,-1
11,0,7,"Hellbraunes T-Shirt",3,-1,-1
11,0,8,"Pinkes T-Shirt",3,-1,-1
11,0,9,"Mintgrünes T-Shirt",3,-1,-1
11,0,10,"Aschgraues T-Shirt",3,-1,-1
11,0,11,"Graues T-Shirt",3,-1,-1
11,0,12,"Leoparden-T-Shirt",3,-1,-1
11,0,13,"Zweifarbiges T-Shirt",3,-1,-1
11,0,14,"Babyblaues T-Shirt",3,-1,-1
11,0,15,"Zweifarbig gestreiftes T-Shirt",3,-1,-1
11,1,0,"Abgetragene Jeansjacke",3,-1,-1
11,1,1,"Rote Jeansjacke",3,-1,-1
11,1,2,"Zweifarbige Jeansjacke",3,-1,-1
11,1,4,"Adler-Jeansjacke",3,-1,-1
11,1,5,"Sternen-Jeansjacke",3,-1,-1
11,1,6,"Graffiti-Jeansjacke",3,-1,-1
11,1,9,"Blumen-Jeansjacke",3,-1,-1
11,1,11,"Vorgewaschene Jeansjacke",3,-1,-1
11,1,14,"Weiße Jeansjacke",3,-1,-1
11,2,0,"Eris-Oberteil",3,-1,-1
11,2,1,"Peachy Chics-Oberteil",3,-1,-1
11,2,2,"Backside Skateboards-Oberteil",3,-1,-1
11,2,3,"Prop 208-Oberteil",3,-1,-1
11,2,4,"Suburban-Oberteil",3,-1,-1
11,2,5,"Blau gebändertes Oberteil",3,-1,-1
11,2,6,"Schwarz-weißes Oberteil",3,-1,-1
11,2,7,"Lachsfarben gestreiftes Oberteil",3,-1,-1
11,2,8,"Blau gestreiftes Oberteil",3,-1,-1
11,2,9,"Leoparden-Oberteil",3,-1,-1
11,2,10,"Grau gepunktetes Oberteil",3,-1,-1
11,2,11,"Schwarzes Batik-Oberteil",3,-1,-1
11,2,12,"Himmelblaues Oberteil",3,-1,-1
11,2,13,"Gelbes Oberteil",3,-1,-1
11,2,14,"Lila Oberteil",3,-1,-1
11,2,15,"Indianisches Oberteil",3,-1,-1
11,3,0,"Weißer Kapuzenpullover",3,-1,-1
11,3,1,"Grauer Kapuzenpullover",3,-1,-1
11,3,2,"Schwarzer Kapuzenpullover",3,-1,-1
11,3,3,"Blauer Kapuzenpullover",3,-1,-1
11,3,4,"Brauner Kapuzenpullover",3,-1,-1
11,3,10,"Hellbrauner Kapuzenpullover",3,-1,-1
11,3,11,"Aquablauer Kapuzenpullover",3,-1,-1
11,3,12,"Peachy Chics Kapuzenpullover",3,-1,-1
11,3,13,"Skelett-Kapuzenpullover",3,-1,-1
11,3,14,"Pounders Kapuzenpullover",3,-1,-1
11,4,13,"Rotes zweifarbiges Tanktop",3,-1,-1
11,4,14,"Zweifarbiges Tanktop",3,-1,-1
11,5,0,"Altweißes gekürztes Tanktop",3,-1,-1
11,5,1,"Aschgraues gekürztes Tanktop",3,-1,-1
11,5,7,"Gekürztes Schlangen-Tanktop",3,-1,-1
11,5,9,"Weißes gekürztes Tanktop",3,-1,-1
11,6,0,"Schwarzes Sakko",3,-1,-1
11,6,1,"Graues zweifarbiges Sakko",3,-1,-1
11,6,2,"Marineblaues Sakko",3,-1,-1
11,6,4,"Ganz schwarzes Sakko",3,-1,-1
11,7,0,"Schiefergrauer Blazer",3,-1,-1
11,7,1,"Weißer Blazer",3,-1,-1
11,7,2,"Goldener Blazer",3,-1,-1
11,7,8,"Zweifarbiger Blazer",3,-1,-1
11,8,0,"Graue gekürzte Bikerweste",3,-1,-1
11,8,1,"Aschgraue gekürzte Bikerweste",3,-1,-1
11,8,2,"Schwarze gekürzte Bikerweste",3,-1,-1
11,8,12,"Weiße gekürzte Bikerweste",3,-1,-1
11,9,0,"Anthrazitgraues Hemd",3,-1,-1
11,9,1,"Weißes Hemd"",3,-1,-1
11,9,2,"Himmelblaues Hemd",3,-1,-1
11,9,3,"Olivgrünes Hemd",3,-1,-1
11,9,4,"Pfirsichfarbenes Hemd",3,-1,-1
11,9,5,"Pinkes Karohemd",3,-1,-1
11,9,6,"Blaues Karohemd",3,-1,-1
11,9,7,"Hellrotes Karohemd",3,-1,-1
11,9,8,"Hellblaues Hemd",3,-1,-1
11,9,9,"Blau ausgewaschenes Hemd",3,-1,-1
11,9,10,"Ländliches Karohemd",3,-1,-1
11,9,11,"Rotes Karohemd",3,-1,-1
11,9,12,"Zweifarbiges Hemd",3,-1,-1
11,9,13,"Grünes Karohemd",3,-1,-1
11,9,14,"Western-Hemd",3,-1,-1
11,10,0,"Gestreifte Trainingsjacke",3,-1,-1
11,10,1,"Himmelblaue Trainingsjacke",3,-1,-1
11,10,2,"Weiße Trainingsjacke",3,-1,-1
11,10,7,"Lila Trainingsjacke",3,-1,-1
11,10,10,"Pinke Trainingsjacke",3,-1,-1
11,10,11,"Schwarze Trainingsjacke",3,-1,-1
11,10,13,"Olivgrüne Trainingsjacke",3,-1,-1
11,10,15,"Peachy Chics Trainingsjacke",3,-1,-1
11,11,0,"Himmelblaues Racerback",3,-1,-1
11,11,1,"Lila Racerback",3,-1,-1
11,11,2,"Graues Racerback",3,-1,-1
11,11,10,"Los Santos 01 Racerback",3,-1,-1
11,11,11,"LS Racerback",3,-1,-1
