ComponentID,DrawableID,TextureID,Name
7,0,0,"Schlangen-Goldmanschette"
7,1,0,"Diamant-Goldmanschette"
7,2,0,"Einfache Goldmanschette"
7,3,0,"Le Chien-Goldmanschette"
7,4,0,"Fein verzierte Goldmanschette"
7,5,0,"Wirbel-Goldmanschette"
7,6,0,"Textur-Goldmanschette"
7,7,0,"Leichte Armkette (R)"
7,8,0,"Grobe Armkette (R)"
7,9,0,"Quadrat-Armkette (R)"
7,10,0,"Schädel-Armkette (R)"
7,11,0,"Profil-Armreif (R)"
7,12,0,"Motorradkette (R)"
7,13,0,"Nietenarmband (R)"
7,14,0,"Schwarzes Lederarmband (R)"
7,14,1,"Braunes Lederarmband (R)"
7,14,2,"Hellbraunes Lederarmband (R)"
7,14,3,"Blutrotes Lederarmband (R)"
7,15,0,"Blaue Armreifen (R)"
7,15,1,"Rote Armreifen (R)"
7,15,2,"Pinke Armreifen (R)"
7,15,3,"Gelbe Armreifen (R)"
7,15,4,"Orange Armreifen (R)"
7,15,5,"Grüne Armreifen (R)"
7,15,6,"Rot-blaue Armreifen (R)"
7,15,7,"Gelb-orange Armreifen (R)"
7,15,8,"Grün-pinke Armreifen (R)"
7,15,9,"Regenbogenarmreifen (R)"
7,15,10,"Sonnenuntergangsarmr. (R)"
7,15,11,"Tropische Armreifen (R)"
7,16,0,"Tropische Armreifen (R)"
