ComponentID,DrawableID,TextureID,Name
7,0,0,"Leichte Armkette (R)"
7,1,0,"Grobe Armkette (R)"
7,2,0,"Quadrat-Armkette (R)"
7,3,0,"Schädel-Armkette (R)"
7,4,0,"Profil-Armreif (R)"
7,5,0,"Motorradkette (R)"
7,6,0,"Nietenarmband (R)"
7,7,0,"Schwarzes Lederarmband (R)"
7,7,1,"Braunes Lederarmband (R)"
7,7,2,"Hellbraunes Lederarmband (R)"
7,7,3,"Blutrotes Lederarmband (R)"
7,8,0,"Blaue Armreifen (R)"
7,8,1,"Rote Armreifen (R)"
7,8,2,"Pinke Armreifen (R)"
7,8,3,"Gelbe Armreifen (R)"
7,8,4,"Orange Armreifen (R)"
7,8,5,"Grüne Armreifen (R)"
7,8,6,"Rot-blaue Armreifen (R)"
7,8,7,"Gelb-orange Armreifen (R)"
7,8,8,"Grün-pinke Armreifen (R)"
7,8,9,"Regenbogenarmreifen (R)"
7,8,10,"Sonnenuntergangsarmr. (R)"
7,8,11,"Tropische Armreifen (R)"
7,9,0,"Tropische Armreifen (R)"
