ComponentID,DrawableID,TextureID,Name
2,0,0,"Grauer Ohrhörer"
2,1,0,"Roter Ohrhörer"
2,2,0,"LCD-Ohrhörer"
2,3,0,"Platinpendel"
2,4,0,"Goldpendel"
2,5,0,"Gold-Diamantringe"
2,6,0,"Gold-Diamanttropfen"
2,6,1,"Platin-Diamanttropfen"
2,6,2,"Schwarzgold-Diamanttropfen"
2,7,0,"Gold-Wasserfälle"
2,7,1,"Platin-Wasserfälle"
2,7,2,"Schwarzgold-Wasserfälle"
2,8,0,"Gold-Totems"
2,8,1,"Schwarzgold-Totems"
2,8,2,"Platin-Totems"
2,9,0,"Gold-Diamantketten"
2,9,1,"Platin-Diamantketten"
2,9,2,"Schwarzgold-Diamantketten"
2,10,0,"Gold-Smaragdketten"
2,10,1,"Platin-Smaragdketten"
2,10,2,"Schwarzgold-Smaragdketten"
2,11,0,"Gold-Sonnentropfen"
2,11,1,"Platin-Sonnentropfen"
2,11,2,"Schwarzgold-Sonnentropfen"
2,12,0,"Platin-Diamantstecker"
2,12,1,"Gold-Diamantstecker"
2,12,2,"Schwarzgold-Diamantstecker"
2,13,0,"Sturmreifen"
2,14,0,"Dicke Reifen"
2,15,0,"Klassische Reifen"
2,16,0,"FU-Reifen"
2,17,0,"Screw-You-Reifen"
2,18,0,"Goldene FOS-Mikros"
2,18,1,"Silberne FOS-Mikros"
2,19,0,"Kreuz-Ohrringe"
2,19,1,"Karo-Ohrringe"
2,19,2,"Herz-Ohrringe"
2,19,3,"Pik-Ohrringe"
2,20,0,"Weiße Würfel-Ohrringe"
2,20,1,"Rote Würfel-Ohrringe"
2,20,2,"Hellbraune Würfel-Ohrringe"
2,20,3,"Graue Würfel-Ohrringe"
2,21,0,"Schwarze Jeton-Ohrringe"
2,21,1,"Gelbe Jeton-Ohrringe"
2,21,2,"Rote Jeton-Ohrringe"
2,21,3,"Pinke Jeton-Ohrringe"
