ComponentID,DrawableID,TextureID,Name
1,0,0,"Schwarz-gelbe Sportbrille"
1,0,1,"Zweifarbige Sportbrille"
1,0,2,"Orangene Sportbrille"
1,0,3,"Blaue Sportbrille"
1,0,4,"Marmorierte Sportbrille"
1,0,5,"Lila Sportbrille"
1,0,6,"Topazfarbene Sportbrille"
1,0,7,"Beige Sportbrille"
1,0,8,"Muschel Sportbrille"
1,0,9,"Schwarze Sportbrille"
1,0,10,"Weiße Sportbrille"
1,1,0,"Kupferfarben marmoriert"
1,1,1,"Marmoriert, blau getönt"
1,1,2,"Schwarz marmoriert"
1,1,3,"Lila marmoriert"
1,1,4,"Türkis marmoriert"
1,1,5,"Marmoriert, rot getönt"
1,1,6,"Weiß marmoriert"
1,1,7,"Marmoriert, pink getönt"
1,1,8,"Muschel marmoriert"
1,1,9,"Schwarz marmoriert"
1,1,10,"Weiß marmoriert"
1,2,0,"Marmorierte Mademoiselles"
1,2,1,"Kupferfarbene Mademoiselles"
1,2,2,"Mademoiselles, orange getönt"
1,2,3,"Mademoiselles, pink getönt"
1,2,4,"Walnussbraune Mademoiselles"
1,2,5,"Schwarze Mademoiselles"
1,2,6,"Rote Mademoiselles"
1,2,7,"Goldene Mademoiselles"
1,2,8,"Muschel Mademoiselles"
1,2,9,"Schwarze Mademoiselles"
1,2,10,"Weiße Mademoiselles"
1,3,0,"Zebra-Shield"
1,3,1,"Dunkle Shield"
1,3,2,"Flammenrote Shield"
1,3,3,"Lila Shield"
1,3,4,"Sonnengelbe Shield"
1,3,5,"Silbern abgesetzte Shield"
1,3,6,"Party-Shield"
1,3,7,"Goldene Shield"
1,3,8,"Muschel Shield"
1,3,9,"Schwarze Shield"
1,3,10,"Weiße Shield"
1,4,0,"Walnussbraune Retrobrille"
1,4,1,"Marmorierte Retrobrille"
1,4,2,"Beige Retrobrille"
1,4,3,"Aquablaue Retrobrille"
1,4,4,"Zweifarbige Retrobrille"
1,4,5,"Schwarze Retrobrille"
1,4,6,"Karamelgelbe Retrobrille"
1,4,7,"Rote Retrobrille"
1,4,8,"Muschel Retrobrille"
1,4,9,"Schwarze Retrobrille"
1,4,10,"Weiße Retrobrille"
1,6,0,"Bugs-Brille, lila getönt"
1,6,8,"Muschel Bugs-Brille"
1,6,9,"Schwarze Bugs-Brille"
1,6,10,"Weiße Bugs-Brille"
1,7,0,"Beige Figure 8"
1,7,1,"Platinfarbene Figure 8"
1,7,2,"Saphirblaue Figure 8"
1,7,3,"Amethystlila Figure 8"
1,7,4,"Goldene Figure 8"
1,7,5,"Weiße Figure 8"
1,7,6,"Graue Figure 8"
1,7,7,"Granatrote Figure 8"
1,7,8,"Muschel Figure 8"
1,7,9,"Schwarze Figure 8"
1,7,10,"Weiße Figure 8"
1,8,0,"Rechteckbrille, orange getönt"
1,8,8,"Muschel Rechteckbrille"
1,8,9,"Schwarze Rechteckbrille"
1,8,10,"Weiße Rechteckbrille"
1,9,0,"Schutzbrille, hellgrün getönt"
1,9,1,"Schutzbrille, orange getönt"
1,9,2,"Blaue Schutzbrille"
1,9,3,"Tropische Schutzbrille"
1,9,4,"Bunte Schutzbrille"
1,9,5,"Karmesinrote Schutzbrille"
1,9,6,"Schutzbrille, grün getönt"
1,9,7,"Pinke Schutzbrille"
1,9,8,"Muschel Schutzbrille"
1,9,9,"Schwarze Schutzbrille"
1,9,10,"Weiße Schutzbrille"
1,10,0,"Frostweiße Sportbrille"
1,10,1,"Schwarze Sportbrille"
1,10,2,"Grüne Sportbrille"
1,10,3,"Kuhflecken-Sportbrille"
1,10,4,"Orange Sportbrille"
1,10,5,"Dunkle Sportbrille"
1,10,6,"Blau gemusterte Sportbrille"
1,10,7,"Pink gemusterte Sportbrille"
1,10,8,"Muschel HS Brille"
1,10,9,"Schwarze HS Brille"
1,10,10,"Weiße HS Brille"
1,11,0,"Zinn-Pilotenbrille"
1,11,1,"Stahl-Pilotenbrille"
1,11,2,"Bronze-Pilotenbrille"
1,11,3,"Schwarze Pilotenbrille"
1,11,4,"Neon-Pilotenbrille"
1,11,5,"Kupfer-Pilotenbrille"
1,11,6,"Gold-Pilotenbrille"
1,11,7,"Schiefergraue Pilotenbrille"
1,14,0,"Schwarze Katzenaugen"
1,14,1,"Braune Katzenaugen"
1,14,2,"Pinkfarbene Katzenaugen"
1,14,3,"Grüne Katzenaugen"
1,14,4,"Rote Katzenaugen"
1,14,5,"Türkise Katzenaugen"
1,14,6,"Lila Katzenaugen"
1,14,7,"Blaue Katzenaugen"
1,14,8,"Muschel Katzenaugen"
1,14,9,"Schwarze Katzenaugen"
1,14,10,"Weiße Katzenaugen"
1,16,0,"Braune DS Bugs-Brille"
1,16,1,"DS Bugs-Brille, blau getönt"
1,16,2,"Marmorierte DS Bugs-Brille"
1,16,3,"Türkise DS Bugs-Brille"
1,16,4,"Weiße DS Bugs-Brille"
1,16,5,"Pinke DS Bugs-Brille"
1,16,6,"Rote DS Bugs-Brille"
1,17,0,"Quadrat-Brille, lila getönt"
1,17,1,"Leopard-Quadrat-Brille"
1,17,2,"Lila Quadrat-Brille"
1,17,3,"Türkise Quadrat-Brille"
1,17,4,"Hellbraune Quadrat-Brille"
1,17,5,"Pinke Quadrat-Brille"
1,17,6,"Weiße Quadrat-Brille"
1,18,0,"Schmale Brille, Stahl"
1,18,1,"Schmale Brille, Zinn"
1,18,2,"Schmale Brille, Gold"
1,18,3,"Schmale Brille, schwarz"
1,18,4,"Schmale Brille, gelb"
1,18,5,"Schmale Brille, Kupfer"
1,18,6,"Schmale Brille, Goldbügel"
1,18,7,"Schmale Brille, Silberbügel"
1,19,0,"Schwarze Plastikbrille"
1,19,1,"Plastikbrille, oranges Gelenk"
1,19,2,"Plastikbrille, pinkes Gelenk"
1,19,3,"Marmorierte Plastikbrille"
1,19,4,"Cremefarbene Plastikbrille"
1,19,5,"Rote Plastikbrille"
1,19,6,"Sonnengelbe Plastikbrille"
1,19,7,"Bunte Plastikbrille"
1,19,8,"Goldbraune Plastik-Modebrille"
1,19,9,"Schwarze Plastik-Modebrille"
1,19,10,"Weiße Plastik-Modebrille"
1,20,0,"Schwarze Retro Classics"
1,20,1,"Zweifarbige Retro Classics"
1,20,2,"Marmorierte Retro Classics"
1,20,3,"Mehrfarbige Retro Classics"
1,20,4,"Pfirsichfarbene Retro Classics"
1,20,5,"Babyblaue Retro Classics"
1,20,6,"Rote Retro Classics"
1,20,7,"Hellgrüne Retro Classics"
1,21,0,"Schwarze Hipsters"
1,21,1,"Blaue Hipsters"
1,21,2,"Marmorierte Hipsters"
1,21,3,"Beschichtete Hipsters"
1,21,4,"Rote Hipsters"
1,21,5,"Orange Hipsters"
1,21,6,"Leuchtend pinke Hipsters"
1,21,7,"Braune Hipsters"
1,22,0,"Sternrahmenbrille"
1,23,0,"Sternenbannerbrille"
1,24,0,"Schwarze Freizeitbrille"
