ComponentID,DrawableID,TextureID,Name
1,1,1,"Schwarze breite Brille"
1,2,0,"Tiefschwarze Sonnenbrille"
1,2,1,"Weiße Sonnenbrille"
1,2,2,"Karmesinrote Sonnenbrille"
1,2,3,"Schwarze Sonnenbrille"
1,2,4,"Dunkle Sonnenbrille"
1,2,5,"Frostweiße Sonnenbrille"
1,2,6,"Schneeweiße Sonnenbrille"
1,2,7,"Grüne Sonnenbrille"
1,2,8,"Muschel Sonnenbrille"
1,2,9,"Schwarze Sonnenbrille"
1,2,10,"Weiße Sonnenbrille"
1,3,0,"Dunkle Hausmeister-Brille"
1,3,1,"Schwarze Hausmeister-Brille"
1,3,2,"Graue Hausmeister-Brille"
1,3,3,"Aschgraue Hausmeister-Brille"
1,3,4,"Hellbraune Hausmeister-Brille"
1,3,5,"Rauchgraue Hausmeister-Brille"
1,3,6,"Helle Hausmeister-Brille"
1,3,7,"Weiße Hausmeister-Brille"
1,3,8,"Muschel Hausmeister-Brille"
1,3,9,"Schwarze Hausmeister-Brille"
1,3,10,"Weiße Hausmeister-Brille"
1,4,0,"Braune Enema Brille"
1,4,1,"Graue Enema Brille"
1,4,2,"Schwarze Enema Brille"
1,4,3,"Dunkelbraune Enema Brille"
1,4,4,"Walnussbraune Enema Brille"
1,4,5,"Marmorierte Enema Brille"
1,4,6,"Rauchgraue Enema Brille"
1,4,7,"Dunkle Enema Sonnenbrille"
1,4,8,"Muschel Enema Brille"
1,4,9,"Schwarze Enema Brille"
1,4,10,"Weiße Enema Brille"
1,5,0,"Gold-Pilotenbrille"
1,5,1,"Stahl-Pilotenbrille"
1,5,2,"Silber-Pilotenbrille, getönt"
1,5,3,"Graue Pilotenbrille, grün getönt"
1,5,4,"Silber-Pilotenbrille, blau getönt"
1,5,5,"Braune Pilotenbrille, getönt"
1,5,6,"Stahl-Pilotenbrille, blau getönt"
1,5,7,"Silber-Pilotenbrille, kupferton"
1,5,8,"Muschel Pilotenbrille"
1,5,9,"Schwarze Pilotenbrille"
1,5,10,"Weiße Pilotenbrille"
1,7,0,"Schwarze Freizeitbrille"
1,7,1,"Bunte Freizeitbrille"
1,7,2,"Marmorierte Freizeitbrille"
1,7,3,"Rote Freizeitbrille"
1,7,4,"Weiße Freizeitbrille"
1,7,5,"Tarnfarbene Freizeitbrille"
1,7,6,"Zitronengelbe Freizeitbrille"
1,7,7,"Blutrote Freizeitbrille"
1,7,8,"Muschel Freizeitbrille"
1,7,9,"Schwarze Freizeitbrille"
1,7,10,"Weiße Freizeitbrille"
1,8,0,"Braune Brille"
1,8,1,"Silberne Brille"
1,8,2,"Graue Brille"
1,8,3,"Rauchgraue Polizeibrille"
1,8,4,"Kaffeebraune Polizeibrille"
1,8,5,"Schwarze Polizeibrille"
1,8,6,"Schiefergraue Polizeibrille"
1,8,7,"Anthrazitgraue Polizeibrille"
1,8,8,"Muschel Polizeibrille"
1,8,9,"Schwarze Polizeibrille"
1,8,10,"Weiße Polizeibrille"
1,9,0,"Schwarze Hawaiian Snow"
1,9,1,"Graue Hawaiian Snow"
1,9,2,"Weiße Hawaiian Snow"
1,9,3,"Aschgraue Hawaiian Snow"
1,9,4,"Kupferfarbene Hawaiian Snow"
1,9,5,"Dunkelbraune Hawaiian Snow"
1,9,6,"Marmorierte Hawaiian Snow"
1,9,7,"Walnussbraune Hawaiian Snow"
1,9,8,"Muschel HS Brille"
1,9,9,"Schwarze HS Brille"
1,9,10,"Weiße HS Brille"
1,10,0,"Goldene Bull Emic"
1,10,1,"Graue Bull Emic"
1,10,2,"Silberne Bull Emic"
1,10,3,"Schwarze Bull Emic"
1,10,4,"Braune Bull Emic"
1,10,5,"Schiefergraue Bull Emic"
1,10,6,"Weiße Bull Emic"
1,10,7,"Bull Emic, lila getönt"
1,10,8,"Muschel Bull Emic"
1,10,9,"Schwarze Bull Emic"
1,10,10,"Weiße Bull Emic"
1,12,0,"Orange Elvis"
1,12,1,"Graue Elvis"
1,12,2,"Schiefergraue Elvis"
1,12,3,"Schwarze Elvis"
1,12,4,"Weiße Elvis"
1,12,5,"Elvis, blau getönt"
1,12,6,"Elvis, pink getönt"
1,12,7,"Kupferfarbene Elvis"
1,12,8,"Muschel Elvis"
1,12,9,"Schwarze Elvis"
1,12,10,"Weiße Elvis"
1,13,0,"Schwarze Broker Hipster"
1,13,1,"Weiße Hipsterbrille"
1,13,2,"Schokobraune Hipsterbrille"
1,13,3,"Schiefergraue Hipsterbrille"
1,13,4,"Anthrazitgraue Hipsterbrille"
1,13,5,"Olivgrüne Hipsterbrille"
1,13,6,"Goldene Hipsterbrille"
1,13,7,"Zweifarbige Hipsterbrille"
1,13,8,"Muschel Hipsterbrille"
1,13,9,"Schwarze Hipsterbrille"
1,13,10,"Weiße Hipsterbrille"
1,15,0,"Gelbe Schutzbrille"
1,15,1,"Weiße Schutzbrille"
1,15,2,"Graue Schutzbrille"
1,15,3,"Rote Schutzbrille"
1,15,4,"Blaue Schutzbrille"
1,15,5,"Schwarz-gelbe Schutzbrille"
1,15,6,"Orange Schutzbrille"
1,15,7,"Pinke Schutzbrille"
1,15,8,"Muschel Schutzbrille"
1,15,9,"Schwarze Schutzbrille"
1,15,10,"Weiße Schutzbrille"
1,16,0,"Pinke breite Broker-Brille"
