ComponentID,DrawableID,TextureID,Name
0,0,0,"Rote Ohrenschützer"
0,0,1,"Pinke Ohrenschützer"
0,0,2,"Grüne Ohrenschützer"
0,0,3,"Gelbe Ohrenschützer"
0,0,4,"Wüstentarn-Ohrenschützer"
0,0,5,"Blaue Ohrenschützer"
0,0,6,"Hellblaue Ohrenschützer"
0,0,7,"Orange Ohrenschützer"
0,2,1,"Pink gebänderter Cowgirl-Hut"
0,3,7,"Grau karierter Leinenhut"
0,4,0,"Schwarze LS Fitted-Kappe"
0,4,1,"Fruntalot Fitted-Kappe"
0,4,2,"Broker Fitted-Kappe"
0,4,3,"SA Fitted-Kappe"
0,4,4,"SA Boars Fitted-Kappe"
0,4,5,"Stank Fitted-Kappe"
0,4,6,"Red Mist XI Fitted-Kappe"
0,4,7,"LS Corkers Fitted-Kappe"
0,5,0,"Schwarze Rearwall Beanie"
0,5,1,"Aschgraue Crevis Beanie"
0,5,2,"Pinke Crevis Beanie"
0,5,3,"LS Panic Beanie"
0,5,4,"SA Beanie"
0,5,5,"Blaue Hawaiian Snow Beanie"
0,5,6,"Limettengrüne Rearwall Beanie"
0,5,7,"Karierte Hawaiian Snow Beanie"
0,6,0,"Schwarze Offiziersmütze"
0,6,1,"Grüne Offiziersmütze"
0,6,2,"Leoparden-Offiziersmütze"
0,6,3,"Hellbraune Offiziersmütze"
0,6,4,"Jeans-Offiziersmütze"
0,6,5,"Feldtarn-Offiziersmütze"
0,6,6,"Wüstentarn-Offiziersmütze"
0,6,7,"Waldtarn-Offiziersmütze"
0,7,0,"Marineblaue Schiebermütze"
0,7,1,"Weiße Schiebermütze"
0,7,2,"Grau karierte Schiebermütze"
0,7,3,"Braun karierte Schiebermütze"
0,7,4,"Rote Schiebermütze"
0,7,5,"Pinke Schiebermütze"
0,7,6,"Grün karierte Schiebermütze"
0,7,7,"Bunt karierte Schiebermütze"
0,9,0,"Fruit Kappe"
0,9,1,"247 Kappe"
0,9,2,"Fred's Kappe"
0,9,3,"US Post LS Kappe"
0,9,4,"Swallow Kappe"
0,9,5,"CNT Kappe"
0,9,6,"Schlangenhaut-Kappe"
0,9,7,"Leoparden-Kappe"
0,10,7,"Hellbraun gemusterte Kappe"
0,11,1,"Schwarzer Sonnenhut"
0,12,0,"Schwarze Beanie"
0,12,6,"Hawaiian Snow Beanie"
0,12,7,"Yeti Beanie"
0,13,0,"Hellbrauner Strohhut"
0,13,1,"Zweifarbiger Strohhut"
0,13,2,"Brauner Strohhut"
0,13,3,"Safari-Strohhut"
0,13,4,"Grau gemusterter Strohhut"
0,13,5,"Braun gestreifter Strohhut"
0,13,6,"Grauer Strohhut"
0,13,7,"Marineblauer Strohhut"
0,14,0,"Schwarzes Barett"
0,14,1,"Kirschrotes Barett"
0,14,2,"Lila Barett"
0,14,3,"Weißes Barett"
0,14,4,"Graues Barett"
0,14,5,"Marineblaues Barett"
0,14,6,"Hellbraunes Barett"
0,14,7,"Magentafarbenes Barett"
0,15,0,"Weiße Beat Off Kopfhörer"
0,15,1,"Schwarze Beat Off Kopfhörer"
0,15,2,"Rote Beat Off Kopfhörer"
0,15,3,"Graue Beat Off Kopfhörer"
0,15,4,"Marineblaue Beat Off Kopfhörer"
0,15,5,"Lila Beat Off Kopfhörer"
0,15,6,"Pinke Beat Off Kopfhörer"
0,15,7,"Orange Beat Off Kopfhörer"
0,16,0,"Gelber Western MC Helm"
0,16,1,"Blauer Steel Horse Helm"
0,16,2,"Oranger Steel Horse Helm"
0,16,3,"Grüner Western MC Helm"
0,16,4,"Roter Western MC Helm"
0,16,5,"Schwarzer Steel Horse Helm"
0,16,6,"Schwarzer Helm"
0,16,7,"Violetter Western MC Helm"
0,17,0,"Blauer Jethelm"
