ComponentID,DrawableID,TextureID,Name
6,0,4,"Pewters Uhr"
6,2,0,"Goldene Modeuhr"
6,2,1,"Silberne Modeuhr"
6,2,2,"Kupferne Modeuhr"
6,2,3,"Schwarze Modeuhr"
6,3,0,"Goldene CaCa Di Lusso"
6,3,1,"Silberne CaCa Di Lusso"
6,3,2,"Rotgoldene CaCa Di Lusso"
6,4,0,"Silberne Didier Sachs Mignon"
6,4,1,"Rotgold. Didier Sachs Mignon"
6,4,2,"Goldene Didier Sachs Mignon"
6,5,0,"Goldene iFruit Link"
6,5,1,"Silberne iFruit Link"
6,5,2,"Rotgoldene iFruit Link"
6,6,0,"Weiße iFruit Tech"
6,6,1,"Pinke iFruit Tech"
6,6,2,"PRB-iFruit Tech"
6,7,0,"Goldene Le Chien Marquise"
6,7,1,"Silberne Le Chien Marquise"
6,7,2,"Rotgold. Le Chien Marquise"
6,8,0,"Graue Fufu Jeunesse"
6,8,1,"Schwarze Fufu Jeunesse"
6,8,2,"Blaue Fufu Jeunesse"
6,9,0,"Silberne Anna Rex Prestige"
6,9,1,"Goldene Anna Rex Prestige"
6,9,2,"Carbon-Anna Rex Prestige"
6,10,0,"Limettengrüne iFruit Snap"
6,10,1,"Weiße iFruit Snap"
6,10,2,"Neonfarbene iFruit Snap"
6,11,0,"Leichte Armkette (L)"
6,12,0,"Grobe Armkette (L)"
6,13,0,"Quadrat-Armkette (L)"
6,14,0,"Schädel-Armkette (L)"
6,15,0,"Profil-Armreif (L)"
6,16,0,"Motorradkette (L)"
6,17,0,"Nietenarmband (L)"
6,18,0,"Schwarzes Lederarmband (L)"
6,18,1,"Braunes Lederarmband (L)"
6,18,2,"Hellbraunes Lederarmband (L)"
6,18,3,"Blutrotes Lederarmband (L)"
6,19,0,"Robuste Golduhr"
6,19,1,"Robuste Silberuhr"
6,19,2,"Robuste schwarze Uhr"
6,19,3,"Robuste Kartenuhr"
6,19,4,"Robuste Royaluhr"
6,19,5,"Robuste Rouletteuhr"
6,20,0,"Goldene Kronos Tempo"
6,20,1,"Silberne Kronos Tempo"
6,20,2,"Schwarze Kronos Tempo"
6,20,3,"Goldene Fifty Kronos Tempo"
6,20,4,"Gold. Roulette-Kronos-Tempo"
6,20,5,"Barock-Kronos-Tempo"
6,21,0,"Goldene Kronos Pulse"
6,21,1,"Silberne Kronos Pulse"
6,21,2,"Schwarze Kronos Pulse"
6,21,3,"Silberne Fifty Kronos Pulse"
6,21,4,"Silberne Roulette-Kronos-Pulse"
6,21,5,"Pik-Kronos-Pulse"
6,21,6,"Rote Fame-or-Shame-Kronos"
6,21,7,"Grüne Fame-or-Shame-Kronos"
6,21,8,"Blaue Fame-or-Shame-Kronos"
6,21,9,"Schw. Fame-or-Shame-Kronos"
6,22,0,"Goldene Kronos Ära"
6,22,1,"Silberne Kronos Ära"
6,22,2,"Schwarze Kronos Ära"
6,22,3,"Goldene Fifty Kronos Ära"
6,22,4,"Hellbraune Pik-Kronos-Ära"
6,22,5,"Braune Pik-Kronos-Ära"
6,23,0,"Goldene Ceaseless"
6,23,1,"Silberne Ceaseless"
6,23,2,"Schwarze Ceaseless"
6,23,3,"Pik-Ceaseless"
6,23,4,"Metallmischungs-Ceaseless"
6,23,5,"Roulette-Ceaseless"
6,24,0,"Silberne Crowex Époque"
6,24,1,"Goldene Crowex Époque"
6,24,2,"Schwarze Crowex Époque"
6,24,3,"Rad-Crowex-Époque"
6,24,4,"Kartenfarben-Crowex-Époque"
6,24,5,"Roulette-Crowex-Époque"
6,25,0,"Goldene Kronos Quad"
6,25,1,"Silberne Kronos Quad"
6,25,2,"Schwarze Kronos Quad"
6,25,3,"Roulette-Kronos-Quad"
6,25,4,"Fifty Kronos Quad"
6,25,5,"Kartenfarben-Kronos-Quad"
6,26,0,"Silberne Crowex Rond"
6,26,1,"Goldene Crowex Rond"
6,26,2,"Schwarze Crowex Rond"
6,26,3,"Pik-Crowex-Rond"
6,26,4,"Königliche Crowex Rond"
6,26,5,"Würfel-Crowex-Rond"
6,27,0,"Silbernes SASS-Armband"
6,27,1,"Goldenes SASS-Armband"
6,27,2,"Schwarzes SASS-Armband"
6,28,0,"Silberne SASS-Armkette"
6,28,1,"Goldene SASS-Armkette"
6,28,2,"Schwarze SASS-Armkette"
6,29,0,"Blaue Armreifen (L)"
6,29,1,"Rote Armreifen (L)"
6,29,2,"Pinke Armreifen (L)"
6,29,3,"Gelbe Armreifen (L)"
6,29,4,"Orange Armreifen (L)"
6,29,5,"Grüne Armreifen (L)"
6,29,6,"Rot-blaue Armreifen (L)"
6,29,7,"Gelb-orange Armreifen (L)"
6,29,8,"Grün-pinke Armreifen (L)"
6,29,9,"Regenbogenarmreifen (L)"
6,29,10,"Sonnenuntergangsarmr. (L)"
6,29,11,"Tropische Armreifen (L)"
6,30,0,"Tropische Armreifen (L)"
