ComponentID,DrawableID,TextureID,Name
6,0,0,"Tiefsee-Uhr"
6,0,1,"Goldene Uhr"
6,0,2,"Silberbe Uhr"
6,0,3,"Schwarze Uhr"
6,0,4,"Vergoldete Silber-Uhr"
6,1,0,"Weiße LED, schwarzes Armband"
6,1,1,"Rote LED, weißes Armband"
6,1,2,"Rote LED, braunes Armband"
6,1,3,"Weiße LED, bräunliches Armband"
6,1,4,"Gelbe LED"
6,2,0,"Schwarze Sportuhr"
6,2,1,"Rote Sportuhr"
6,2,2,"Weiße Sportuhr"
6,2,3,"Gelbe Sportuhr"
6,2,4,"Blaue Sportuhr"
6,3,0,"Schwarze Pendulus Sportuhr"
6,3,1,"Rote Pfister Sportuhr"
6,3,2,"Weiße Sportuhr"
6,3,3,"Gelbe Sportuhr"
6,3,4,"Blaue Sportuhr"
6,4,0,"Goldene Uhr"
6,4,1,"Silberne Uhr"
6,4,2,"Schwarze Uhr"
6,4,3,"Weißgoldene Uhr"
6,5,0,"Rote LED, weißes Armband"
6,5,1,"Rote LED, braunes Armband"
6,5,2,"Weiße LED, Goldarmband"
6,5,3,"Gelbe LED, gelbes Armband"
6,6,0,"Rotgoldene Kronos Quantum"
6,6,1,"Siberne Kronos Quantum"
6,6,2,"Carbon-Kronos Quantum"
6,7,0,"Platin-Gaulle Retro Hex"
6,7,1,"Carbon-Gaulle Retro Hex"
6,7,2,"Goldene Gaulle Retro Hex"
6,8,0,"Goldene Covgari Supernova"
6,8,1,"Carbon-Covgari Supernova"
6,8,2,"Rotgold. Covgari Supernova"
6,9,0,"Platin-Pendulus Galaxis"
6,9,1,"Carbon-Pendulus Galaxis"
6,9,2,"Goldene Pendulus Galaxis"
6,10,0,"Silberne Crowex Chromosphere"
6,10,1,"Gold. Crowex Chromosphere"
6,10,2,"Carbon-Crowex Chromosphere"
6,11,0,"Rotgold. Vangelico Geomeister"
6,11,1,"Silberne Vangelico Geomeister"
6,11,2,"Goldene Vangelico Geomeister"
6,12,0,"Goldene iFruit Link"
6,12,1,"Silberne iFruit Link"
6,12,2,"Rotgoldene iFruit Link"
6,13,0,"Carbon-iFruit Tech"
6,13,1,"Limettengrüne iFruit Tech"
6,13,2,"PRB-iFruit Tech"
6,14,0,"Silberne Covgari Explorer"
6,14,1,"Rotgoldene Covgari Explorer"
6,14,2,"Goldene Covgari Explorer"
6,15,0,"Silberne Pendulus Gravity"
6,15,1,"Goldene Pendulus Gravity"
6,15,2,"Platin-Pendulus Gravity"
6,16,0,"Goldene Covgari Universe"
6,16,1,"Silberne Covgari Universe"
6,16,2,"Stahl-Covgari Universe"
6,17,0,"Kupfer-Gaulle Destiny"
6,17,1,"Vintage-Gaulle Destiny"
6,17,2,"Silberne Gaulle Destiny"
